id,age,gender,country,hours_sleep,exercise_days,screen_time,stress_level,happiness_level,income_bracket
135,18,male,Spain,6.2,3,6.6,7,10,low
136,22,male,Mexico,8.2,6,9.2,5,8,high
137,43,non-binary,Mexico,9.1,5,3.6,5,2,medium
138,31,non-binary,Argentina,8.5,1,4.3,1,1,low
139,56,male,Mexico,4.1,6,4.1,2,2,medium
140,44,male,Argentina,7.2,4,8.1,5,7,medium
141,26,non-binary,Chile,8.5,6,8.3,3,4,high
142,32,female,Colombia,5.0,6,7.1,2,10,low
143,32,male,Argentina,8.1,3,9.0,4,5,high
144,43,non-binary,Spain,8.0,6,3.1,4,7,low
145,59,female,Chile,5.2,6,10.2,4,3,medium
146,30,male,Argentina,8.3,5,9.8,4,10,low
147,49,female,Argentina,7.4,3,7.8,3,2,low
148,56,non-binary,Colombia,8.0,1,10.5,7,7,medium
149,49,male,Spain,5.6,4,1.9,9,5,medium
150,21,female,Peru,7.2,3,4.7,5,1,low
151,47,male,Peru,4.4,3,4.2,4,1,high
152,54,female,Argentina,3.6,0,7.8,2,9,low
153,40,non-binary,Mexico,7.2,3,3.4,2,5,medium
154,56,non-binary,Spain,8.7,0,7.9,5,1,high
155,62,male,Chile,7.4,4,9.4,7,7,medium
156,32,female,Mexico,6.9,6,7.7,10,9,medium
157,60,male,Mexico,6.7,5,6.7,10,1,high
158,46,male,Spain,5.6,5,3.5,9,10,medium
159,53,female,Argentina,6.7,4,3.9,7,4,medium
160,30,female,Argentina,7.6,4,9.1,5,3,medium
161,49,female,Argentina,6.3,2,7.9,10,5,medium
162,24,non-binary,Argentina,8.1,6,5.9,10,7,medium
163,39,male,Peru,7.3,4,5.0,10,8,medium
164,45,male,Argentina,7.5,3,0.9,6,2,medium
165,19,non-binary,Peru,8.3,5,3.3,3,7,medium
166,59,female,Peru,6.2,1,10.8,5,1,medium
167,62,non-binary,Argentina,8.0,5,2.8,8,7,low
168,23,non-binary,Colombia,6.4,0,6.5,1,8,low
169,45,non-binary,Chile,7.5,5,8.5,1,2,medium
170,45,male,Mexico,6.0,2,2.9,7,9,low
171,61,non-binary,Peru,5.6,6,6.5,5,1,high
172,61,male,Spain,7.1,4,8.3,5,6,low
173,37,male,Spain,4.2,6,6.0,1,1,medium
174,47,male,Chile,6.6,4,13.2,9,3,medium
175,28,female,Spain,4.6,5,1.8,1,6,low
176,45,male,Colombia,8.2,1,8.6,5,3,medium
177,42,male,Spain,8.6,1,5.6,10,8,high
178,56,female,Mexico,5.7,2,7.9,9,5,high
179,50,male,Mexico,7.6,0,7.1,4,2,medium
180,18,non-binary,Peru,8.3,5,4.2,8,4,high
181,44,non-binary,Argentina,8.4,4,6.6,6,9,high
182,30,male,Colombia,7.3,5,1.4,3,4,low
183,58,female,Peru,8.1,2,7.5,4,10,high
184,20,non-binary,Colombia,6.0,3,6.7,2,10,low
185,56,female,Argentina,7.1,3,7.6,1,8,medium
186,23,female,Spain,6.3,2,8.6,8,5,low
187,25,non-binary,Spain,5.9,4,6.9,1,10,medium
188,44,female,Argentina,7.1,6,6.4,1,1,medium
189,26,non-binary,Peru,7.5,2,3.8,4,7,medium
190,54,female,Argentina,8.7,4,4.2,10,3,medium
191,50,non-binary,Chile,7.4,1,9.0,10,10,medium
192,59,male,Mexico,8.0,2,9.6,6,8,low
193,61,non-binary,Peru,8.0,4,5.4,9,3,medium
194,41,non-binary,Colombia,11.0,2,6.1,1,1,high
195,32,non-binary,Chile,4.3,2,3.7,7,5,high
196,49,non-binary,Peru,6.0,6,8.9,10,2,medium
197,49,female,Argentina,9.2,6,7.7,5,4,high
198,41,male,Argentina,6.5,4,10.9,8,1,low
199,58,non-binary,Argentina,8.3,4,3.8,7,9,low
200,29,female,Argentina,7.3,0,5.1,4,6,medium
201,56,male,Colombia,10.2,2,6.6,4,8,medium
202,19,male,Chile,5.3,3,7.6,6,4,medium
203,20,male,Spain,8.8,2,5.5,6,9,high
204,54,male,Mexico,9.6,2,3.8,9,2,high
205,34,non-binary,Colombia,5.5,4,8.2,5,9,low
206,19,non-binary,Colombia,8.2,2,7.8,8,5,high
207,19,female,Spain,5.6,5,3.7,5,6,low
208,45,female,Spain,7.0,2,9.4,2,3,high
209,40,female,Mexico,6.6,5,8.9,6,4,low
210,54,male,Mexico,3.4,6,6.3,9,6,medium
211,49,male,Spain,7.6,3,6.2,3,7,high
212,50,non-binary,Argentina,7.2,4,7.4,1,1,low
213,18,male,Colombia,9.2,2,3.8,1,7,high
214,36,male,Peru,7.9,5,6.1,3,1,medium
215,19,male,Mexico,10.4,5,0.6,10,5,low
216,61,female,Mexico,7.2,6,8.2,5,6,high
217,43,female,Spain,6.8,5,2.1,3,2,high
218,49,non-binary,Chile,6.7,1,9.8,9,10,medium
219,23,male,Peru,6.3,0,5.2,8,9,medium
220,49,male,Peru,3.7,3,5.5,3,10,low
221,21,non-binary,Mexico,6.7,6,4.4,9,6,high
222,28,male,Argentina,3.9,6,5.3,6,7,high
223,34,male,Chile,7.7,2,9.5,7,10,medium
224,55,female,Peru,5.1,1,-0.2,4,8,medium
225,41,non-binary,Mexico,5.7,2,9.2,4,10,low
226,22,non-binary,Peru,6.0,2,6.8,2,1,high
227,51,non-binary,Chile,6.7,4,3.0,5,8,high
228,23,non-binary,Chile,7.0,4,3.3,8,4,low
229,39,female,Colombia,8.6,4,10.2,7,10,low
230,28,female,Spain,6.1,1,3.6,7,8,medium
231,33,male,Spain,7.7,2,3.1,6,6,medium
232,50,male,Mexico,11.1,0,8.8,3,9,low
233,26,male,Chile,7.6,3,6.8,5,4,low
234,23,male,Colombia,6.7,4,3.7,1,2,high
235,33,female,Colombia,5.8,4,6.5,7,2,low
236,46,non-binary,Peru,6.7,6,3.4,9,5,low
237,20,female,Peru,5.7,2,8.8,1,10,high
238,37,male,Colombia,7.4,2,8.7,2,9,low
239,53,female,Peru,7.2,1,7.3,3,3,medium
240,36,non-binary,Chile,3.8,1,6.9,3,8,medium
241,43,non-binary,Argentina,7.0,4,10.4,8,4,high
242,20,female,Chile,8.6,2,6.0,7,6,low
243,36,female,Colombia,6.4,0,3.0,6,10,medium
244,37,female,Colombia,6.0,3,7.1,10,6,medium
245,49,male,Chile,4.9,2,11.2,10,3,medium
246,24,female,Peru,4.2,6,3.5,4,5,medium
247,58,female,Peru,8.2,2,5.1,9,3,low
248,50,female,Spain,6.7,5,7.0,1,1,low
249,57,non-binary,Colombia,8.2,1,5.9,2,7,low
250,56,non-binary,Mexico,9.3,6,3.5,4,4,low
251,35,male,Spain,8.4,3,8.8,3,7,medium
252,57,male,Peru,6.2,4,11.8,1,3,high
253,18,non-binary,Chile,7.2,6,6.5,5,5,high
254,28,non-binary,Peru,6.1,2,3.7,7,5,medium
255,45,non-binary,Chile,5.9,4,2.1,2,2,medium
256,42,female,Spain,7.5,2,6.6,5,10,high
257,40,female,Colombia,5.8,4,8.8,6,2,high
258,48,non-binary,Peru,3.7,3,7.2,7,4,medium
259,47,female,Chile,5.7,1,6.0,1,4,medium
260,59,female,Colombia,6.5,3,4.5,7,4,low
261,52,male,Mexico,9.3,5,3.3,4,6,low
262,24,non-binary,Chile,6.3,0,8.1,8,2,high
263,33,non-binary,Spain,7.8,1,8.3,4,6,medium
264,43,female,Mexico,6.7,3,2.1,6,7,high
265,19,non-binary,Mexico,8.8,5,10.0,9,10,low
266,18,male,Argentina,8.7,0,7.4,5,3,low
267,29,male,Peru,8.8,5,9.5,4,8,high
268,22,male,Chile,4.4,2,2.6,8,2,low
269,54,non-binary,Mexico,7.3,2,2.6,9,8,medium
270,49,non-binary,Argentina,8.1,4,5.6,4,5,high
271,26,non-binary,Spain,7.6,1,7.3,3,2,medium
272,58,non-binary,Colombia,8.0,2,10.5,8,7,medium
273,52,non-binary,Chile,7.1,6,7.8,5,2,low
274,36,male,Mexico,5.9,5,5.4,2,6,medium
275,33,female,Peru,4.5,1,3.4,10,10,high
276,20,male,Argentina,6.0,6,9.1,9,3,medium
277,37,non-binary,Mexico,11.0,2,3.6,3,9,medium
278,41,male,Peru,6.3,4,10.1,2,3,medium
279,50,non-binary,Mexico,4.1,3,5.3,1,3,medium
280,41,non-binary,Chile,8.1,4,10.0,8,5,medium
281,28,male,Chile,8.3,6,7.7,3,7,low
282,25,non-binary,Chile,8.9,0,5.7,7,8,high
283,53,female,Spain,7.7,2,4.7,1,7,low
284,55,non-binary,Spain,8.3,6,5.1,1,9,high
285,57,female,Argentina,9.8,0,7.1,9,5,high
286,37,female,Chile,5.9,0,6.2,8,10,high
287,52,non-binary,Peru,5.6,5,4.5,3,3,high
288,42,male,Mexico,5.4,1,5.6,6,6,high
289,52,female,Colombia,6.6,5,6.2,3,5,medium
290,42,male,Peru,9.2,2,0.7,4,4,low
291,46,female,Spain,7.8,0,7.1,1,2,low
292,35,non-binary,Spain,7.7,6,3.6,5,7,medium
293,63,non-binary,Peru,4.3,3,3.1,1,5,high
294,35,female,Spain,6.0,0,1.8,1,4,low
295,19,non-binary,Chile,4.2,6,1.5,10,8,medium
296,52,female,Argentina,8.8,3,2.6,7,9,medium
297,33,non-binary,Mexico,9.4,5,4.2,6,9,low
298,58,male,Argentina,8.2,5,10.9,2,3,low
299,53,non-binary,Mexico,5.5,1,4.7,2,3,high
300,50,male,Mexico,9.2,6,6.4,7,5,high
301,21,non-binary,Argentina,6.6,0,7.0,1,5,low
302,50,male,Peru,5.2,4,6.3,2,10,high
303,31,non-binary,Mexico,5.6,5,5.8,8,2,medium
304,38,male,Argentina,6.4,5,3.0,6,1,high
305,37,female,Mexico,7.1,1,9.6,2,8,high
306,25,female,Colombia,6.8,3,10.5,7,3,medium
307,24,male,Peru,4.9,1,1.8,4,1,high
308,20,non-binary,Chile,8.8,0,3.4,2,1,medium
309,34,male,Mexico,6.8,6,5.3,6,2,high
310,50,non-binary,Colombia,5.9,2,3.6,9,6,low
311,29,female,Chile,8.7,2,7.3,9,6,high
312,39,non-binary,Chile,5.2,6,4.2,8,3,low
313,39,female,Mexico,4.6,3,11.4,3,4,low
314,63,non-binary,Argentina,8.9,5,9.0,3,2,low
315,47,non-binary,Mexico,9.8,3,6.5,2,2,low
316,55,non-binary,Colombia,6.3,5,8.6,5,7,low
317,55,male,Chile,6.9,5,8.8,4,1,medium
318,62,male,Mexico,5.3,2,4.6,7,7,medium
319,25,female,Argentina,7.0,3,4.0,4,1,medium
320,44,female,Mexico,6.3,1,6.2,9,6,low
321,44,male,Peru,6.8,5,8.2,2,3,high
322,51,female,Argentina,7.6,4,6.3,6,8,medium
323,38,male,Colombia,5.4,4,2.1,7,6,high
324,47,non-binary,Chile,6.5,1,4.0,4,2,high
325,50,female,Mexico,4.3,4,5.8,6,8,low
326,45,female,Argentina,6.5,0,5.8,7,5,low
327,64,male,Peru,6.9,5,10.9,4,8,low
328,50,female,Argentina,7.3,1,2.5,8,8,medium
329,22,female,Spain,7.4,3,7.3,9,6,low
330,36,non-binary,Peru,8.4,5,9.7,1,2,medium
331,21,female,Colombia,4.7,1,11.7,7,8,medium
332,52,non-binary,Chile,4.8,2,5.0,9,6,medium
333,34,male,Colombia,7.8,3,7.2,10,6,medium
334,61,female,Mexico,3.9,2,7.4,5,8,low
335,45,non-binary,Argentina,7.3,5,6.5,2,1,medium
336,47,male,Spain,5.2,3,5.8,10,2,low
337,46,female,Peru,9.4,4,7.1,6,9,low
338,63,male,Peru,7.4,1,-0.3,7,8,medium
339,23,female,Argentina,6.7,5,7.7,2,7,low
340,52,male,Spain,8.8,0,6.3,2,7,high
341,58,male,Argentina,5.4,3,5.4,10,5,low
342,54,non-binary,Mexico,5.7,3,11.1,10,2,low
343,41,male,Colombia,5.1,6,4.3,1,6,medium
344,46,female,Peru,5.7,5,5.0,4,10,medium
345,63,female,Mexico,7.1,5,11.0,7,3,low
346,48,non-binary,Colombia,7.7,2,3.9,9,4,medium
347,52,female,Mexico,8.4,6,4.6,3,10,high
348,50,female,Spain,4.3,4,5.6,7,2,high
349,38,female,Peru,6.7,2,8.1,7,2,medium
350,49,male,Argentina,5.3,6,6.5,7,8,low
351,40,male,Argentina,6.7,2,2.8,2,8,high
352,50,female,Colombia,10.5,4,4.7,6,10,high
353,20,non-binary,Chile,7.4,6,4.5,2,6,low
354,35,male,Spain,8.3,6,5.8,6,5,medium
355,42,non-binary,Colombia,9.9,0,7.1,10,8,high
356,59,female,Chile,8.7,2,7.0,3,4,low
357,48,female,Mexico,6.3,2,1.6,2,4,low
358,20,male,Spain,5.1,3,8.7,6,5,high
359,57,female,Mexico,7.0,4,6.6,2,1,medium
360,63,male,Peru,6.1,1,9.5,5,1,high
361,41,female,Spain,4.7,0,7.1,2,2,low
362,49,female,Chile,7.4,6,8.8,3,8,high
363,64,male,Peru,7.4,6,7.2,3,7,medium
364,39,male,Argentina,9.7,6,9.4,6,10,low
365,40,male,Chile,6.5,0,7.3,6,9,medium
366,19,female,Colombia,7.4,6,5.8,10,5,high
367,44,female,Argentina,6.0,6,11.7,3,2,high
368,59,non-binary,Argentina,8.3,4,8.2,3,7,medium
369,19,male,Colombia,6.8,5,7.4,1,8,high
370,43,female,Spain,5.2,5,2.8,7,7,medium
371,34,female,Argentina,7.0,3,2.8,8,7,high
372,57,male,Chile,7.6,3,6.7,2,5,medium
373,50,non-binary,Peru,7.4,6,6.4,4,2,medium
374,26,male,Argentina,8.6,4,4.5,10,6,low
375,60,non-binary,Chile,4.8,6,6.4,7,4,low
376,56,female,Mexico,5.7,3,10.0,8,10,medium
377,46,non-binary,Chile,8.0,0,7.7,1,2,high
378,59,female,Peru,5.9,0,3.1,4,9,high
379,43,male,Chile,7.4,1,5.7,6,7,high
380,52,male,Colombia,3.4,5,4.0,3,6,medium
381,42,male,Peru,11.1,4,5.0,5,5,medium
382,41,non-binary,Spain,6.6,2,5.0,10,3,medium
383,30,female,Mexico,8.8,5,4.8,9,10,medium
384,24,male,Colombia,6.5,2,2.9,3,10,low
385,53,male,Spain,7.6,1,5.7,5,4,medium
386,62,female,Chile,9.2,1,4.6,8,3,high
387,37,male,Peru,8.7,6,-1.3,6,8,low
388,18,female,Mexico,6.7,3,11.1,4,3,high
389,25,female,Colombia,6.8,1,8.7,8,7,medium
390,63,female,Spain,8.5,1,5.1,3,7,low
391,33,female,Spain,10.5,2,6.0,3,7,medium
392,31,female,Mexico,7.3,3,3.1,4,7,low
393,29,non-binary,Chile,9.9,1,10.2,9,2,high
394,40,male,Mexico,6.6,5,10.7,5,10,medium
395,32,non-binary,Spain,8.4,1,6.4,8,3,medium
396,45,male,Argentina,8.7,3,8.6,6,10,low
397,51,non-binary,Colombia,6.4,6,6.4,3,9,low
398,19,female,Mexico,5.9,4,2.7,8,3,medium
399,49,male,Spain,8.7,3,5.0,9,2,low
400,40,male,Chile,6.2,2,6.3,8,9,medium
401,39,non-binary,Spain,5.7,4,4.9,4,10,low
402,42,non-binary,Chile,6.0,5,5.5,6,9,high
403,39,male,Mexico,6.2,0,5.8,1,4,low
404,39,non-binary,Chile,8.3,3,5.8,4,9,high
405,59,non-binary,Peru,7.8,6,6.1,8,3,low
406,23,non-binary,Peru,8.1,2,3.3,1,7,low
407,32,female,Peru,7.6,5,4.2,3,7,medium
408,60,female,Argentina,6.1,4,2.8,1,8,low
409,54,non-binary,Mexico,8.0,5,8.4,9,10,low
410,50,non-binary,Spain,8.8,3,0.7,2,4,high
411,25,female,Spain,7.9,1,8.9,9,3,low
412,61,female,Argentina,7.7,6,9.5,4,3,medium
413,61,male,Chile,5.8,3,5.2,2,5,high
414,22,male,Argentina,7.3,0,-0.5,4,1,medium
415,56,female,Chile,5.8,3,5.1,10,10,medium
416,21,non-binary,Chile,7.0,4,5.8,6,3,medium
417,23,non-binary,Colombia,4.5,4,3.5,7,6,medium
418,62,non-binary,Spain,4.6,3,4.7,3,3,high
419,49,non-binary,Peru,6.7,4,9.8,3,5,low
420,47,male,Chile,6.2,1,7.7,10,9,medium
421,64,female,Colombia,7.2,5,3.7,8,2,high
422,52,non-binary,Spain,6.8,3,2.0,5,2,medium
423,57,male,Peru,7.0,6,5.2,4,6,low
424,33,non-binary,Chile,7.9,1,5.5,7,6,high
425,30,female,Chile,6.3,5,7.2,7,8,high
426,59,male,Argentina,6.7,6,4.7,9,2,low
427,47,female,Argentina,9.2,6,7.3,9,9,high
428,36,female,Spain,7.0,6,10.8,5,2,low
429,34,male,Peru,6.7,5,8.0,8,1,high
430,36,male,Chile,7.1,1,5.9,10,10,high
431,45,male,Spain,6.8,6,5.5,1,2,low
432,43,male,Spain,5.9,6,5.1,9,7,low
433,54,male,Mexico,5.5,2,9.0,8,8,high
434,43,male,Argentina,5.9,3,4.4,6,5,high
435,40,male,Peru,8.3,5,6.1,3,6,low
436,26,non-binary,Chile,6.1,5,6.1,3,1,low
437,29,female,Spain,6.8,4,4.7,8,6,high
438,18,male,Chile,8.1,5,2.6,5,8,high
439,18,non-binary,Mexico,6.6,1,6.8,10,3,high
440,64,non-binary,Peru,8.0,5,5.8,7,1,low
441,51,non-binary,Spain,4.7,2,7.3,5,4,high
442,49,female,Chile,6.8,3,4.7,8,1,medium
443,42,male,Argentina,7.1,3,9.1,10,8,low
444,57,non-binary,Mexico,7.0,5,3.8,10,5,high
445,62,female,Peru,4.5,6,10.3,4,1,low
446,18,female,Mexico,8.8,0,1.6,2,8,medium
447,33,female,Argentina,5.7,0,7.1,3,9,low
448,56,non-binary,Peru,7.5,6,7.2,8,10,high
449,22,male,Mexico,7.0,6,4.0,7,2,medium
450,39,non-binary,Colombia,8.5,6,7.1,2,9,medium
451,46,non-binary,Argentina,10.3,1,9.2,6,8,high
452,20,male,Argentina,5.1,0,0.5,9,7,high
453,29,male,Argentina,6.0,6,7.3,4,3,high
454,43,male,Colombia,7.3,1,-0.2,9,2,low
455,33,female,Colombia,5.3,4,3.6,2,7,low
456,54,male,Chile,8.2,1,10.1,2,5,low
457,39,non-binary,Spain,8.3,0,4.5,9,6,high
458,46,male,Mexico,7.8,5,3.1,7,4,high
459,31,non-binary,Chile,7.4,4,5.5,7,2,low
460,45,female,Mexico,9.1,0,11.2,1,9,medium
461,22,non-binary,Spain,5.3,1,1.4,6,3,low
462,64,non-binary,Colombia,7.1,2,3.4,7,7,medium
463,47,male,Spain,5.9,3,9.7,6,8,high
464,63,male,Colombia,8.3,0,10.6,6,2,high
465,22,non-binary,Spain,4.2,6,5.7,2,6,low
466,29,male,Chile,7.0,1,2.9,6,8,low
467,33,female,Peru,7.5,6,11.2,4,7,high
468,43,female,Chile,5.6,6,10.0,9,3,low
469,43,male,Mexico,6.1,6,7.7,1,1,high
470,38,female,Chile,7.0,6,4.0,8,6,high
471,56,male,Argentina,8.4,6,5.9,5,8,medium
472,53,non-binary,Mexico,5.5,4,5.6,1,6,low
473,50,non-binary,Spain,5.7,0,6.8,4,5,high
474,47,female,Mexico,8.7,0,9.6,1,8,low
475,54,male,Peru,6.6,3,8.2,6,2,medium
476,40,male,Colombia,5.8,1,3.3,2,1,medium
477,27,female,Spain,8.1,2,9.4,5,1,low
478,22,non-binary,Mexico,6.3,4,6.8,7,4,low
479,53,female,Spain,8.5,1,7.7,2,6,high
480,51,non-binary,Spain,6.0,4,9.7,6,9,medium
481,48,male,Spain,6.8,0,3.2,6,1,medium
482,27,non-binary,Colombia,8.4,6,5.9,5,1,medium
483,36,female,Chile,6.7,3,4.7,5,5,low
484,49,male,Spain,8.1,3,2.1,3,10,high
485,18,female,Argentina,6.9,5,6.9,10,5,low
486,22,female,Peru,10.0,2,12.3,10,5,low
487,62,non-binary,Colombia,9.4,3,1.4,2,10,low
488,21,female,Mexico,5.0,6,5.9,7,6,high
489,33,non-binary,Colombia,7.8,0,7.6,1,8,low
490,41,male,Mexico,5.8,2,6.3,6,3,medium
491,33,non-binary,Colombia,7.3,1,5.7,6,9,medium
492,19,male,Mexico,7.1,6,2.8,3,1,medium
493,45,non-binary,Spain,5.4,6,6.6,2,4,high
494,49,female,Chile,8.6,3,4.1,2,9,low
495,44,non-binary,Mexico,7.3,2,0.5,9,8,high
496,37,non-binary,Mexico,6.6,0,9.0,5,10,low
497,41,male,Argentina,6.3,5,8.4,7,9,medium
498,29,female,Mexico,7.2,4,6.1,5,1,low
499,52,non-binary,Argentina,7.6,4,6.6,7,9,low
